page	raw	simplified	best_site	score
PAGE 4	RODAPGGR12025X250X85	RODAPGGR12025X250X85	Rodas PGS 25x250x85 - qualquer grão	0.566
PAGE 4	RODAPGGR12040X250X85	RODAPGGR12040X250X85	Rodas PGS 30x150x25	0.564
PAGE 4	RODAPGGR12050X150X45	RODAPGGR12050X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR12050X250X85	RODAPGGR12050X250X85	Rodas PGS 30x150x25	0.615
PAGE 4	RODAPGGR12050X300X110	RODAPGGR12050X300X110	Roda Brim 150x13	0.541
PAGE 4	RODAPGGR15025X150X25	RODAPGGR15025X150X25	Rodas PGS 30x150x25	0.718
PAGE 4	RODAPGGR15025X150X45	RODAPGGR15025X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR15025X250X85	RODAPGGR15025X250X85	Rodas PGS 30x150x25	0.615
PAGE 4	RODAPGGR15030X150X25	RODAPGGR15030X150X25	Rodas PGS 30x150x25	0.769
PAGE 4	RODAPGGR15050X150X45	RODAPGGR15050X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR15050X250X85	RODAPGGR15050X250X85	Rodas PGS 30x150x25	0.615
PAGE 4	RODAPGGR15050X300X110	RODAPGGR15050X300X110	Roda Brim 150x13	0.541
PAGE 4	RODAPGGR18025X150X45	RODAPGGR18025X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR18050X150X45	RODAPGGR18050X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR18050X250X85	RODAPGGR18050X250X85	Rodas PGS 30x150x25	0.615
PAGE 4	RODAPGGR22025X150X45	RODAPGGR22025X150X45	Rodas PGS 30x150x25	0.667
PAGE 4	RODAPGGR22025X250X85	RODAPGGR22025X250X85	Rodas PGS 25x250x85 - qualquer grão	0.566
PAGE 4	RODAPGGR22030X150X45	RODAPGGR22030X150X45	Rodas PGS 30x150x25	0.718
